team,name,birthdate,last_season_war,type
BAL,BAL Batter 6,1997-01-01,1.5,Batter
BAL,BAL Batter 7,1997-01-01,1.5,Batter
BAL,BAL Batter 8,1997-01-01,1.5,Batter
BAL,BAL Batter 9,1997-01-01,1.5,Batter
BAL,BAL Batter 10,1997-01-01,1.5,Batter
BAL,BAL Batter 11,1997-01-01,1.5,Batter
BAL,BAL Batter 12,1997-01-01,1.5,Batter
BAL,BAL Batter 13,1997-01-01,1.5,Batter
BAL,BAL Batter 14,1997-01-01,1.5,Batter
BAL,BAL Pitcher 1,1997-01-01,1.8,Pitcher
BAL,BAL Pitcher 2,1997-01-01,1.8,Pitcher
BAL,BAL Pitcher 3,1997-01-01,1.8,Pitcher
BAL,BAL Pitcher 4,1997-01-01,1.8,Pitcher
BAL,BAL Pitcher 5,1997-01-01,1.8,Pitcher
BOS,BOS Batter 7,1997-01-01,1.5,Batter
BOS,BOS Batter 8,1997-01-01,1.5,Batter
BOS,BOS Batter 9,1997-01-01,1.5,Batter
BOS,BOS Batter 10,1997-01-01,1.5,Batter
BOS,BOS Batter 11,1997-01-01,1.5,Batter
BOS,BOS Batter 12,1997-01-01,1.5,Batter
BOS,BOS Batter 13,1997-01-01,1.5,Batter
BOS,BOS Batter 14,1997-01-01,1.5,Batter
BOS,BOS Pitcher 3,1997-01-01,1.8,Pitcher
BOS,BOS Pitcher 4,1997-01-01,1.8,Pitcher
BOS,BOS Pitcher 5,1997-01-01,1.8,Pitcher
CHC,CHC Batter 1,1997-01-01,1.5,Batter
CHC,CHC Batter 2,1997-01-01,1.5,Batter
CHC,CHC Batter 3,1997-01-01,1.5,Batter
CHC,CHC Batter 4,1997-01-01,1.5,Batter
CHC,CHC Batter 5,1997-01-01,1.5,Batter
CHC,CHC Batter 6,1997-01-01,1.5,Batter
CHC,CHC Batter 7,1997-01-01,1.5,Batter
CHC,CHC Batter 8,1997-01-01,1.5,Batter
CHC,CHC Batter 9,1997-01-01,1.5,Batter
CHC,CHC Batter 10,1997-01-01,1.5,Batter
CHC,CHC Batter 11,1997-01-01,1.5,Batter
CHC,CHC Batter 12,1997-01-01,1.5,Batter
CHC,CHC Batter 13,1997-01-01,1.5,Batter
CHC,CHC Batter 14,1997-01-01,1.5,Batter
CHC,CHC Pitcher 1,1997-01-01,1.8,Pitcher
CHC,CHC Pitcher 2,1997-01-01,1.8,Pitcher
CHC,CHC Pitcher 3,1997-01-01,1.8,Pitcher
CHC,CHC Pitcher 4,1997-01-01,1.8,Pitcher
CHC,CHC Pitcher 5,1997-01-01,1.8,Pitcher
CHW,CHW Batter 1,1997-01-01,1.5,Batter
CHW,CHW Batter 2,1997-01-01,1.5,Batter
CHW,CHW Batter 3,1997-01-01,1.5,Batter
CHW,CHW Batter 4,1997-01-01,1.5,Batter
CHW,CHW Batter 5,1997-01-01,1.5,Batter
CHW,CHW Batter 6,1997-01-01,1.5,Batter
CHW,CHW Batter 7,1997-01-01,1.5,Batter
CHW,CHW Batter 8,1997-01-01,1.5,Batter
CHW,CHW Batter 9,1997-01-01,1.5,Batter
CHW,CHW Batter 10,1997-01-01,1.5,Batter
CHW,CHW Batter 11,1997-01-01,1.5,Batter
CHW,CHW Batter 12,1997-01-01,1.5,Batter
CHW,CHW Batter 13,1997-01-01,1.5,Batter
CHW,CHW Batter 14,1997-01-01,1.5,Batter
CHW,CHW Pitcher 1,1997-01-01,1.8,Pitcher
CHW,CHW Pitcher 2,1997-01-01,1.8,Pitcher
CHW,CHW Pitcher 3,1997-01-01,1.8,Pitcher
CHW,CHW Pitcher 4,1997-01-01,1.8,Pitcher
CHW,CHW Pitcher 5,1997-01-01,1.8,Pitcher
CIN,CIN Batter 1,1997-01-01,1.5,Batter
CIN,CIN Batter 2,1997-01-01,1.5,Batter
CIN,CIN Batter 3,1997-01-01,1.5,Batter
CIN,CIN Batter 4,1997-01-01,1.5,Batter
CIN,CIN Batter 5,1997-01-01,1.5,Batter
CIN,CIN Batter 6,1997-01-01,1.5,Batter
CIN,CIN Batter 7,1997-01-01,1.5,Batter
CIN,CIN Batter 8,1997-01-01,1.5,Batter
CIN,CIN Batter 9,1997-01-01,1.5,Batter
CIN,CIN Batter 10,1997-01-01,1.5,Batter
CIN,CIN Batter 11,1997-01-01,1.5,Batter
CIN,CIN Batter 12,1997-01-01,1.5,Batter
CIN,CIN Batter 13,1997-01-01,1.5,Batter
CIN,CIN Batter 14,1997-01-01,1.5,Batter
CIN,CIN Pitcher 1,1997-01-01,1.8,Pitcher
CIN,CIN Pitcher 2,1997-01-01,1.8,Pitcher
CIN,CIN Pitcher 3,1997-01-01,1.8,Pitcher
CIN,CIN Pitcher 4,1997-01-01,1.8,Pitcher
CIN,CIN Pitcher 5,1997-01-01,1.8,Pitcher
CLE,CLE Batter 1,1997-01-01,1.5,Batter
CLE,CLE Batter 2,1997-01-01,1.5,Batter
CLE,CLE Batter 3,1997-01-01,1.5,Batter
CLE,CLE Batter 4,1997-01-01,1.5,Batter
CLE,CLE Batter 5,1997-01-01,1.5,Batter
CLE,CLE Batter 6,1997-01-01,1.5,Batter
CLE,CLE Batter 7,1997-01-01,1.5,Batter
CLE,CLE Batter 8,1997-01-01,1.5,Batter
CLE,CLE Batter 9,1997-01-01,1.5,Batter
CLE,CLE Batter 10,1997-01-01,1.5,Batter
CLE,CLE Batter 11,1997-01-01,1.5,Batter
CLE,CLE Batter 12,1997-01-01,1.5,Batter
CLE,CLE Batter 13,1997-01-01,1.5,Batter
CLE,CLE Batter 14,1997-01-01,1.5,Batter
CLE,CLE Pitcher 1,1997-01-01,1.8,Pitcher
CLE,CLE Pitcher 2,1997-01-01,1.8,Pitcher
CLE,CLE Pitcher 3,1997-01-01,1.8,Pitcher
CLE,CLE Pitcher 4,1997-01-01,1.8,Pitcher
CLE,CLE Pitcher 5,1997-01-01,1.8,Pitcher
COL,COL Batter 1,1997-01-01,1.5,Batter
COL,COL Batter 2,1997-01-01,1.5,Batter
COL,COL Batter 3,1997-01-01,1.5,Batter
COL,COL Batter 4,1997-01-01,1.5,Batter
COL,COL Batter 5,1997-01-01,1.5,Batter
COL,COL Batter 6,1997-01-01,1.5,Batter
COL,COL Batter 7,1997-01-01,1.5,Batter
COL,COL Batter 8,1997-01-01,1.5,Batter
COL,COL Batter 9,1997-01-01,1.5,Batter
COL,COL Batter 10,1997-01-01,1.5,Batter
COL,COL Batter 11,1997-01-01,1.5,Batter
COL,COL Batter 12,1997-01-01,1.5,Batter
COL,COL Batter 13,1997-01-01,1.5,Batter
COL,COL Batter 14,1997-01-01,1.5,Batter
COL,COL Pitcher 1,1997-01-01,1.8,Pitcher
COL,COL Pitcher 2,1997-01-01,1.8,Pitcher
COL,COL Pitcher 3,1997-01-01,1.8,Pitcher
COL,COL Pitcher 4,1997-01-01,1.8,Pitcher
COL,COL Pitcher 5,1997-01-01,1.8,Pitcher
DET,DET Batter 1,1997-01-01,1.5,Batter
DET,DET Batter 2,1997-01-01,1.5,Batter
DET,DET Batter 3,1997-01-01,1.5,Batter
DET,DET Batter 4,1997-01-01,1.5,Batter
DET,DET Batter 5,1997-01-01,1.5,Batter
DET,DET Batter 6,1997-01-01,1.5,Batter
DET,DET Batter 7,1997-01-01,1.5,Batter
DET,DET Batter 8,1997-01-01,1.5,Batter
DET,DET Batter 9,1997-01-01,1.5,Batter
DET,DET Batter 10,1997-01-01,1.5,Batter
DET,DET Batter 11,1997-01-01,1.5,Batter
DET,DET Batter 12,1997-01-01,1.5,Batter
DET,DET Batter 13,1997-01-01,1.5,Batter
DET,DET Batter 14,1997-01-01,1.5,Batter
DET,DET Pitcher 1,1997-01-01,1.8,Pitcher
DET,DET Pitcher 2,1997-01-01,1.8,Pitcher
DET,DET Pitcher 3,1997-01-01,1.8,Pitcher
DET,DET Pitcher 4,1997-01-01,1.8,Pitcher
DET,DET Pitcher 5,1997-01-01,1.8,Pitcher
HOU,HOU Batter 1,1997-01-01,1.5,Batter
HOU,HOU Batter 2,1997-01-01,1.5,Batter
HOU,HOU Batter 3,1997-01-01,1.5,Batter
HOU,HOU Batter 4,1997-01-01,1.5,Batter
HOU,HOU Batter 5,1997-01-01,1.5,Batter
HOU,HOU Batter 6,1997-01-01,1.5,Batter
HOU,HOU Batter 7,1997-01-01,1.5,Batter
HOU,HOU Batter 8,1997-01-01,1.5,Batter
HOU,HOU Batter 9,1997-01-01,1.5,Batter
HOU,HOU Batter 10,1997-01-01,1.5,Batter
HOU,HOU Batter 11,1997-01-01,1.5,Batter
HOU,HOU Batter 12,1997-01-01,1.5,Batter
HOU,HOU Batter 13,1997-01-01,1.5,Batter
HOU,HOU Batter 14,1997-01-01,1.5,Batter
HOU,HOU Pitcher 1,1997-01-01,1.8,Pitcher
HOU,HOU Pitcher 2,1997-01-01,1.8,Pitcher
HOU,HOU Pitcher 3,1997-01-01,1.8,Pitcher
HOU,HOU Pitcher 4,1997-01-01,1.8,Pitcher
HOU,HOU Pitcher 5,1997-01-01,1.8,Pitcher
KCR,KCR Batter 1,1997-01-01,1.5,Batter
KCR,KCR Batter 2,1997-01-01,1.5,Batter
KCR,KCR Batter 3,1997-01-01,1.5,Batter
KCR,KCR Batter 4,1997-01-01,1.5,Batter
KCR,KCR Batter 5,1997-01-01,1.5,Batter
KCR,KCR Batter 6,1997-01-01,1.5,Batter
KCR,KCR Batter 7,1997-01-01,1.5,Batter
KCR,KCR Batter 8,1997-01-01,1.5,Batter
KCR,KCR Batter 9,1997-01-01,1.5,Batter
KCR,KCR Batter 10,1997-01-01,1.5,Batter
KCR,KCR Batter 11,1997-01-01,1.5,Batter
KCR,KCR Batter 12,1997-01-01,1.5,Batter
KCR,KCR Batter 13,1997-01-01,1.5,Batter
KCR,KCR Batter 14,1997-01-01,1.5,Batter
KCR,KCR Pitcher 1,1997-01-01,1.8,Pitcher
KCR,KCR Pitcher 2,1997-01-01,1.8,Pitcher
KCR,KCR Pitcher 3,1997-01-01,1.8,Pitcher
KCR,KCR Pitcher 4,1997-01-01,1.8,Pitcher
KCR,KCR Pitcher 5,1997-01-01,1.8,Pitcher
LAA,LAA Batter 1,1997-01-01,1.5,Batter
LAA,LAA Batter 2,1997-01-01,1.5,Batter
LAA,LAA Batter 3,1997-01-01,1.5,Batter
LAA,LAA Batter 4,1997-01-01,1.5,Batter
LAA,LAA Batter 5,1997-01-01,1.5,Batter
LAA,LAA Batter 6,1997-01-01,1.5,Batter
LAA,LAA Batter 7,1997-01-01,1.5,Batter
LAA,LAA Batter 8,1997-01-01,1.5,Batter
LAA,LAA Batter 9,1997-01-01,1.5,Batter
LAA,LAA Batter 10,1997-01-01,1.5,Batter
LAA,LAA Batter 11,1997-01-01,1.5,Batter
LAA,LAA Batter 12,1997-01-01,1.5,Batter
LAA,LAA Batter 13,1997-01-01,1.5,Batter
LAA,LAA Batter 14,1997-01-01,1.5,Batter
LAA,LAA Pitcher 1,1997-01-01,1.8,Pitcher
LAA,LAA Pitcher 2,1997-01-01,1.8,Pitcher
LAA,LAA Pitcher 3,1997-01-01,1.8,Pitcher
LAA,LAA Pitcher 4,1997-01-01,1.8,Pitcher
LAA,LAA Pitcher 5,1997-01-01,1.8,Pitcher
LAD,LAD Batter 7,1997-01-01,1.5,Batter
LAD,LAD Batter 8,1997-01-01,1.5,Batter
LAD,LAD Batter 9,1997-01-01,1.5,Batter
LAD,LAD Batter 10,1997-01-01,1.5,Batter
LAD,LAD Batter 11,1997-01-01,1.5,Batter
LAD,LAD Batter 12,1997-01-01,1.5,Batter
LAD,LAD Batter 13,1997-01-01,1.5,Batter
LAD,LAD Batter 14,1997-01-01,1.5,Batter
LAD,LAD Pitcher 3,1997-01-01,1.8,Pitcher
LAD,LAD Pitcher 4,1997-01-01,1.8,Pitcher
LAD,LAD Pitcher 5,1997-01-01,1.8,Pitcher
MIA,MIA Batter 1,1997-01-01,1.5,Batter
MIA,MIA Batter 2,1997-01-01,1.5,Batter
MIA,MIA Batter 3,1997-01-01,1.5,Batter
MIA,MIA Batter 4,1997-01-01,1.5,Batter
MIA,MIA Batter 5,1997-01-01,1.5,Batter
MIA,MIA Batter 6,1997-01-01,1.5,Batter
MIA,MIA Batter 7,1997-01-01,1.5,Batter
MIA,MIA Batter 8,1997-01-01,1.5,Batter
MIA,MIA Batter 9,1997-01-01,1.5,Batter
MIA,MIA Batter 10,1997-01-01,1.5,Batter
MIA,MIA Batter 11,1997-01-01,1.5,Batter
MIA,MIA Batter 12,1997-01-01,1.5,Batter
MIA,MIA Batter 13,1997-01-01,1.5,Batter
MIA,MIA Batter 14,1997-01-01,1.5,Batter
MIA,MIA Pitcher 1,1997-01-01,1.8,Pitcher
MIA,MIA Pitcher 2,1997-01-01,1.8,Pitcher
MIA,MIA Pitcher 3,1997-01-01,1.8,Pitcher
MIA,MIA Pitcher 4,1997-01-01,1.8,Pitcher
MIA,MIA Pitcher 5,1997-01-01,1.8,Pitcher
MIL,MIL Batter 1,1997-01-01,1.5,Batter
MIL,MIL Batter 2,1997-01-01,1.5,Batter
MIL,MIL Batter 3,1997-01-01,1.5,Batter
MIL,MIL Batter 4,1997-01-01,1.5,Batter
MIL,MIL Batter 5,1997-01-01,1.5,Batter
MIL,MIL Batter 6,1997-01-01,1.5,Batter
MIL,MIL Batter 7,1997-01-01,1.5,Batter
MIL,MIL Batter 8,1997-01-01,1.5,Batter
MIL,MIL Batter 9,1997-01-01,1.5,Batter
MIL,MIL Batter 10,1997-01-01,1.5,Batter
MIL,MIL Batter 11,1997-01-01,1.5,Batter
MIL,MIL Batter 12,1997-01-01,1.5,Batter
MIL,MIL Batter 13,1997-01-01,1.5,Batter
MIL,MIL Batter 14,1997-01-01,1.5,Batter
MIL,MIL Pitcher 1,1997-01-01,1.8,Pitcher
MIL,MIL Pitcher 2,1997-01-01,1.8,Pitcher
MIL,MIL Pitcher 3,1997-01-01,1.8,Pitcher
MIL,MIL Pitcher 4,1997-01-01,1.8,Pitcher
MIL,MIL Pitcher 5,1997-01-01,1.8,Pitcher
MIN,MIN Batter 1,1997-01-01,1.5,Batter
MIN,MIN Batter 2,1997-01-01,1.5,Batter
MIN,MIN Batter 3,1997-01-01,1.5,Batter
MIN,MIN Batter 4,1997-01-01,1.5,Batter
MIN,MIN Batter 5,1997-01-01,1.5,Batter
MIN,MIN Batter 6,1997-01-01,1.5,Batter
MIN,MIN Batter 7,1997-01-01,1.5,Batter
MIN,MIN Batter 8,1997-01-01,1.5,Batter
MIN,MIN Batter 9,1997-01-01,1.5,Batter
MIN,MIN Batter 10,1997-01-01,1.5,Batter
MIN,MIN Batter 11,1997-01-01,1.5,Batter
MIN,MIN Batter 12,1997-01-01,1.5,Batter
MIN,MIN Batter 13,1997-01-01,1.5,Batter
MIN,MIN Batter 14,1997-01-01,1.5,Batter
MIN,MIN Pitcher 1,1997-01-01,1.8,Pitcher
MIN,MIN Pitcher 2,1997-01-01,1.8,Pitcher
MIN,MIN Pitcher 3,1997-01-01,1.8,Pitcher
MIN,MIN Pitcher 4,1997-01-01,1.8,Pitcher
MIN,MIN Pitcher 5,1997-01-01,1.8,Pitcher
NYM,NYM Batter 1,1997-01-01,1.5,Batter
NYM,NYM Batter 2,1997-01-01,1.5,Batter
NYM,NYM Batter 3,1997-01-01,1.5,Batter
NYM,NYM Batter 4,1997-01-01,1.5,Batter
NYM,NYM Batter 5,1997-01-01,1.5,Batter
NYM,NYM Batter 6,1997-01-01,1.5,Batter
NYM,NYM Batter 7,1997-01-01,1.5,Batter
NYM,NYM Batter 8,1997-01-01,1.5,Batter
NYM,NYM Batter 9,1997-01-01,1.5,Batter
NYM,NYM Batter 10,1997-01-01,1.5,Batter
NYM,NYM Batter 11,1997-01-01,1.5,Batter
NYM,NYM Batter 12,1997-01-01,1.5,Batter
NYM,NYM Batter 13,1997-01-01,1.5,Batter
NYM,NYM Batter 14,1997-01-01,1.5,Batter
NYM,NYM Pitcher 1,1997-01-01,1.8,Pitcher
NYM,NYM Pitcher 2,1997-01-01,1.8,Pitcher
NYM,NYM Pitcher 3,1997-01-01,1.8,Pitcher
NYM,NYM Pitcher 4,1997-01-01,1.8,Pitcher
NYM,NYM Pitcher 5,1997-01-01,1.8,Pitcher
NYY,NYY Batter 7,1997-01-01,1.5,Batter
NYY,NYY Batter 8,1997-01-01,1.5,Batter
NYY,NYY Batter 9,1997-01-01,1.5,Batter
NYY,NYY Batter 10,1997-01-01,1.5,Batter
NYY,NYY Batter 11,1997-01-01,1.5,Batter
NYY,NYY Batter 12,1997-01-01,1.5,Batter
NYY,NYY Batter 13,1997-01-01,1.5,Batter
NYY,NYY Batter 14,1997-01-01,1.5,Batter
NYY,NYY Pitcher 3,1997-01-01,1.8,Pitcher
NYY,NYY Pitcher 4,1997-01-01,1.8,Pitcher
NYY,NYY Pitcher 5,1997-01-01,1.8,Pitcher
OAK,OAK Batter 1,1997-01-01,1.5,Batter
OAK,OAK Batter 2,1997-01-01,1.5,Batter
OAK,OAK Batter 3,1997-01-01,1.5,Batter
OAK,OAK Batter 4,1997-01-01,1.5,Batter
OAK,OAK Batter 5,1997-01-01,1.5,Batter
OAK,OAK Batter 6,1997-01-01,1.5,Batter
OAK,OAK Batter 7,1997-01-01,1.5,Batter
OAK,OAK Batter 8,1997-01-01,1.5,Batter
OAK,OAK Batter 9,1997-01-01,1.5,Batter
OAK,OAK Batter 10,1997-01-01,1.5,Batter
OAK,OAK Batter 11,1997-01-01,1.5,Batter
OAK,OAK Batter 12,1997-01-01,1.5,Batter
OAK,OAK Batter 13,1997-01-01,1.5,Batter
OAK,OAK Batter 14,1997-01-01,1.5,Batter
OAK,OAK Pitcher 1,1997-01-01,1.8,Pitcher
OAK,OAK Pitcher 2,1997-01-01,1.8,Pitcher
OAK,OAK Pitcher 3,1997-01-01,1.8,Pitcher
OAK,OAK Pitcher 4,1997-01-01,1.8,Pitcher
OAK,OAK Pitcher 5,1997-01-01,1.8,Pitcher
PHI,PHI Batter 1,1997-01-01,1.5,Batter
PHI,PHI Batter 2,1997-01-01,1.5,Batter
PHI,PHI Batter 3,1997-01-01,1.5,Batter
PHI,PHI Batter 4,1997-01-01,1.5,Batter
PHI,PHI Batter 5,1997-01-01,1.5,Batter
PHI,PHI Batter 6,1997-01-01,1.5,Batter
PHI,PHI Batter 7,1997-01-01,1.5,Batter
PHI,PHI Batter 8,1997-01-01,1.5,Batter
PHI,PHI Batter 9,1997-01-01,1.5,Batter
PHI,PHI Batter 10,1997-01-01,1.5,Batter
PHI,PHI Batter 11,1997-01-01,1.5,Batter
PHI,PHI Batter 12,1997-01-01,1.5,Batter
PHI,PHI Batter 13,1997-01-01,1.5,Batter
PHI,PHI Batter 14,1997-01-01,1.5,Batter
PHI,PHI Pitcher 1,1997-01-01,1.8,Pitcher
PHI,PHI Pitcher 2,1997-01-01,1.8,Pitcher
PHI,PHI Pitcher 3,1997-01-01,1.8,Pitcher
PHI,PHI Pitcher 4,1997-01-01,1.8,Pitcher
PHI,PHI Pitcher 5,1997-01-01,1.8,Pitcher
PIT,PIT Batter 1,1997-01-01,1.5,Batter
PIT,PIT Batter 2,1997-01-01,1.5,Batter
PIT,PIT Batter 3,1997-01-01,1.5,Batter
PIT,PIT Batter 4,1997-01-01,1.5,Batter
PIT,PIT Batter 5,1997-01-01,1.5,Batter
PIT,PIT Batter 6,1997-01-01,1.5,Batter
PIT,PIT Batter 7,1997-01-01,1.5,Batter
PIT,PIT Batter 8,1997-01-01,1.5,Batter
PIT,PIT Batter 9,1997-01-01,1.5,Batter
PIT,PIT Batter 10,1997-01-01,1.5,Batter
PIT,PIT Batter 11,1997-01-01,1.5,Batter
PIT,PIT Batter 12,1997-01-01,1.5,Batter
PIT,PIT Batter 13,1997-01-01,1.5,Batter
PIT,PIT Batter 14,1997-01-01,1.5,Batter
PIT,PIT Pitcher 1,1997-01-01,1.8,Pitcher
PIT,PIT Pitcher 2,1997-01-01,1.8,Pitcher
PIT,PIT Pitcher 3,1997-01-01,1.8,Pitcher
PIT,PIT Pitcher 4,1997-01-01,1.8,Pitcher
PIT,PIT Pitcher 5,1997-01-01,1.8,Pitcher
SDP,SDP Batter 1,1997-01-01,1.5,Batter
SDP,SDP Batter 2,1997-01-01,1.5,Batter
SDP,SDP Batter 3,1997-01-01,1.5,Batter
SDP,SDP Batter 4,1997-01-01,1.5,Batter
SDP,SDP Batter 5,1997-01-01,1.5,Batter
SDP,SDP Batter 6,1997-01-01,1.5,Batter
SDP,SDP Batter 7,1997-01-01,1.5,Batter
SDP,SDP Batter 8,1997-01-01,1.5,Batter
SDP,SDP Batter 9,1997-01-01,1.5,Batter
SDP,SDP Batter 10,1997-01-01,1.5,Batter
SDP,SDP Batter 11,1997-01-01,1.5,Batter
SDP,SDP Batter 12,1997-01-01,1.5,Batter
SDP,SDP Batter 13,1997-01-01,1.5,Batter
SDP,SDP Batter 14,1997-01-01,1.5,Batter
SDP,SDP Pitcher 1,1997-01-01,1.8,Pitcher
SDP,SDP Pitcher 2,1997-01-01,1.8,Pitcher
SDP,SDP Pitcher 3,1997-01-01,1.8,Pitcher
SDP,SDP Pitcher 4,1997-01-01,1.8,Pitcher
SDP,SDP Pitcher 5,1997-01-01,1.8,Pitcher
SEA,SEA Batter 1,1997-01-01,1.5,Batter
SEA,SEA Batter 2,1997-01-01,1.5,Batter
SEA,SEA Batter 3,1997-01-01,1.5,Batter
SEA,SEA Batter 4,1997-01-01,1.5,Batter
SEA,SEA Batter 5,1997-01-01,1.5,Batter
SEA,SEA Batter 6,1997-01-01,1.5,Batter
SEA,SEA Batter 7,1997-01-01,1.5,Batter
SEA,SEA Batter 8,1997-01-01,1.5,Batter
SEA,SEA Batter 9,1997-01-01,1.5,Batter
SEA,SEA Batter 10,1997-01-01,1.5,Batter
SEA,SEA Batter 11,1997-01-01,1.5,Batter
SEA,SEA Batter 12,1997-01-01,1.5,Batter
SEA,SEA Batter 13,1997-01-01,1.5,Batter
SEA,SEA Batter 14,1997-01-01,1.5,Batter
SEA,SEA Pitcher 1,1997-01-01,1.8,Pitcher
SEA,SEA Pitcher 2,1997-01-01,1.8,Pitcher
SEA,SEA Pitcher 3,1997-01-01,1.8,Pitcher
SEA,SEA Pitcher 4,1997-01-01,1.8,Pitcher
SEA,SEA Pitcher 5,1997-01-01,1.8,Pitcher
SFG,SFG Batter 1,1997-01-01,1.5,Batter
SFG,SFG Batter 2,1997-01-01,1.5,Batter
SFG,SFG Batter 3,1997-01-01,1.5,Batter
SFG,SFG Batter 4,1997-01-01,1.5,Batter
SFG,SFG Batter 5,1997-01-01,1.5,Batter
SFG,SFG Batter 6,1997-01-01,1.5,Batter
SFG,SFG Batter 7,1997-01-01,1.5,Batter
SFG,SFG Batter 8,1997-01-01,1.5,Batter
SFG,SFG Batter 9,1997-01-01,1.5,Batter
SFG,SFG Batter 10,1997-01-01,1.5,Batter
SFG,SFG Batter 11,1997-01-01,1.5,Batter
SFG,SFG Batter 12,1997-01-01,1.5,Batter
SFG,SFG Batter 13,1997-01-01,1.5,Batter
SFG,SFG Batter 14,1997-01-01,1.5,Batter
SFG,SFG Pitcher 1,1997-01-01,1.8,Pitcher
SFG,SFG Pitcher 2,1997-01-01,1.8,Pitcher
SFG,SFG Pitcher 3,1997-01-01,1.8,Pitcher
SFG,SFG Pitcher 4,1997-01-01,1.8,Pitcher
SFG,SFG Pitcher 5,1997-01-01,1.8,Pitcher
STL,STL Batter 1,1997-01-01,1.5,Batter
STL,STL Batter 2,1997-01-01,1.5,Batter
STL,STL Batter 3,1997-01-01,1.5,Batter
STL,STL Batter 4,1997-01-01,1.5,Batter
STL,STL Batter 5,1997-01-01,1.5,Batter
STL,STL Batter 6,1997-01-01,1.5,Batter
STL,STL Batter 7,1997-01-01,1.5,Batter
STL,STL Batter 8,1997-01-01,1.5,Batter
STL,STL Batter 9,1997-01-01,1.5,Batter
STL,STL Batter 10,1997-01-01,1.5,Batter
STL,STL Batter 11,1997-01-01,1.5,Batter
STL,STL Batter 12,1997-01-01,1.5,Batter
STL,STL Batter 13,1997-01-01,1.5,Batter
STL,STL Batter 14,1997-01-01,1.5,Batter
